USB-500/600 Log File,
Name: CEF501shelf#13,
Model: USB-502-PLUS,
Serial Number: 10001330,
Index,Date/Time,Temp(C),Humidity(%rh),Dew Point(C),
1,2/1/2017 10:09:32 AM,23.0,37.0,7.5,
2,2/1/2017 10:39:32 AM,24.5,35.5,8.3,
3,2/1/2017 11:09:32 AM,25.0,34.5,8.3,
4,2/1/2017 11:39:32 AM,25.0,34.5,8.3,
5,2/1/2017 12:09:32 PM,24.5,34.5,7.8,
6,2/1/2017 12:39:32 PM,24.5,34.5,7.8,
7,2/1/2017 1:09:32 PM,25.0,34.0,8.1,
8,2/1/2017 1:39:32 PM,25.0,34.5,8.3,
9,2/1/2017 2:09:32 PM,25.5,33.5,8.3,
10,2/1/2017 2:39:32 PM,25.5,34.0,8.5,
11,2/1/2017 3:09:32 PM,25.5,34.5,8.7,
12,2/1/2017 3:39:32 PM,26.5,32.5,8.7,
13,2/1/2017 4:09:32 PM,26.0,32.5,8.3,
14,2/1/2017 4:39:32 PM,26.0,33.5,8.7,
15,2/1/2017 5:09:32 PM,25.5,43.5,12.2,
16,2/1/2017 5:39:32 PM,26.0,42.5,12.3,
17,2/1/2017 6:09:32 PM,26.0,42.5,12.3,
18,2/1/2017 6:39:32 PM,26.0,42.5,12.3,
19,2/1/2017 7:09:32 PM,26.0,42.5,12.3,
20,2/1/2017 7:39:32 PM,26.0,42.5,12.3,
21,2/1/2017 8:09:32 PM,26.0,41.5,11.9,
22,2/1/2017 8:39:32 PM,26.0,41.0,11.7,
23,2/1/2017 9:09:32 PM,26.0,41.0,11.7,
24,2/1/2017 9:39:32 PM,26.0,41.0,11.7,
25,2/1/2017 10:09:32 PM,25.5,41.0,11.3,
26,2/1/2017 10:39:32 PM,22.5,47.0,10.6,
27,2/1/2017 11:09:32 PM,22.5,46.5,10.5,
28,2/1/2017 11:39:32 PM,22.5,46.0,10.3,
29,2/2/2017 12:09:32 AM,22.5,46.0,10.3,
30,2/2/2017 12:39:32 AM,22.0,46.0,9.9,
31,2/2/2017 1:09:32 AM,22.0,45.5,9.7,
32,2/2/2017 1:39:32 AM,22.0,46.0,9.9,
33,2/2/2017 2:09:32 AM,22.0,46.0,9.9,
34,2/2/2017 2:39:32 AM,22.0,47.0,10.2,
35,2/2/2017 3:09:32 AM,22.0,47.5,10.3,
36,2/2/2017 3:39:32 AM,22.0,48.5,10.6,
37,2/2/2017 4:09:32 AM,22.0,49.0,10.8,
38,2/2/2017 4:39:32 AM,22.0,50.0,11.1,
39,2/2/2017 5:09:32 AM,22.0,50.0,11.1,
40,2/2/2017 5:39:32 AM,22.0,51.0,11.4,
41,2/2/2017 6:09:32 AM,22.5,50.5,11.7,
42,2/2/2017 6:39:32 AM,25.5,45.5,12.9,
43,2/2/2017 7:09:32 AM,25.5,45.5,12.9,
44,2/2/2017 7:39:32 AM,25.5,45.5,12.9,
45,2/2/2017 8:09:32 AM,25.5,45.5,12.9,
46,2/2/2017 8:39:32 AM,26.0,45.5,13.3,
47,2/2/2017 9:09:32 AM,26.0,46.0,13.5,
48,2/2/2017 9:39:32 AM,26.0,46.5,13.7,
49,2/2/2017 10:09:32 AM,26.0,46.5,13.7,
50,2/2/2017 10:39:32 AM,26.0,46.0,13.5,
51,2/2/2017 11:09:32 AM,26.0,46.5,13.7,
52,2/2/2017 11:39:32 AM,26.0,46.5,13.7,
53,2/2/2017 12:09:32 PM,26.0,46.5,13.7,
54,2/2/2017 12:39:32 PM,26.0,47.0,13.8,
55,2/2/2017 1:09:32 PM,26.0,47.0,13.8,
56,2/2/2017 1:39:32 PM,26.0,47.0,13.8,
57,2/2/2017 2:09:32 PM,26.0,46.5,13.7,
58,2/2/2017 2:39:32 PM,26.5,47.5,14.4,
59,2/2/2017 3:09:32 PM,26.0,48.5,14.3,
60,2/2/2017 3:39:32 PM,26.0,47.5,14.0,
61,2/2/2017 4:09:32 PM,26.0,48.0,14.1,
62,2/2/2017 4:39:32 PM,26.0,48.0,14.1,
63,2/2/2017 5:09:32 PM,26.0,49.0,14.5,
64,2/2/2017 5:39:32 PM,26.0,49.5,14.6,
